ID      Score
   47175   18.22
   10764   15.78
   47092   89.06
   90245     5.3
   18829   60.99
   43860   54.56
   70878   67.97
   39467    56.1
   44006   84.46
   73476    47.1
   92772   13.58
   79174    3.22
   58959   37.32
    8135   91.55
   90757   19.97
   96540   99.38
   30355   94.31
   39407   57.74
   21519   83.45
   24475   63.17
   44183    66.2
   68533   94.14
    2463    3.33
   61969   32.11
   47749   72.82
    8676   71.96
   11047   12.47
   31316   41.43
   80240    2.25
   34888   99.23
   21434   54.35
   46992   48.09
    7358   90.49
   77442   90.73
   89520   48.65
   93918    9.43
   57920   25.43
   97148   23.84
    6413   43.61
   15170   39.81
   67857    91.4
    9831   58.09
   17360   31.11
   76743   72.45
   61984   45.44
   57069      87
   71044   84.17
   70089   85.92
   98818   19.25
   13967    85.2
   46947    90.9
   34724   55.78
   70196   51.94
   12259   84.12
   82363    9.39
   68599   34.73
   60091   76.42
   47710   68.08
   20388   79.44
    7425   70.08
   89730   40.71
   62114   84.87
   27927   44.53
   97402   80.68
   45123   59.24
   99231   70.51
    2678   83.92
   73614   92.12
   23526   13.48
   93201   75.22
   67606    3.28
   12934   84.23
   18196    49.7
    2693   72.75
   13636    39.4
   27457   84.53
   33127   18.88
   90992   62.89
   69027   15.28
   64441    6.12
   26348   48.11
   24460   15.72
   51163   69.73
   14834   62.12
   99430   19.59
   85025   80.02
   10109    2.12
   64278    9.67
   24979   78.15
   21229   89.51
   38319   27.36
   25877   87.66
   97298   49.42
     499   24.79
   68983   29.82
   69951   87.27
   37286    64.9
   41915   72.79
   34702   97.07
   59303      13
    8926   23.75
   46091    59.1
   23514   78.99
   59068   78.39
   30816    75.2
   84191   27.31
   47679   65.97
    8198   92.75
   79631    42.4
   93720   25.19
   95278   52.14
   37504   90.21
   23253   93.14
    7873   89.49
   35812   59.99
   34652   48.04
   85864   94.23
   72497   24.87
      29   48.76
   21485   16.22
   53272   83.74
   16643   15.61
   83816   85.53
   67564   53.19
   14221   37.16
   32044   42.43
   33066   57.14
